date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201107,MS,125885.0,17959.0,837208.0,,posNeg,963093.0,710.0,6728.0,177.0,,74.0,,105839.0,A+,11/6/2020 00:00,2020-11-06T24:00:00Z,11/05 19:00,3433.0,6728.0,2020-11-06T24:00:00Z,942578.0,,,107926.0,3070.0,363.0,,,45873.0,95.0,,,,,,,106901.0,,28,1031,0,963093,1031,963093,14,0,3f1f42217410bc6d313f376430c08aa5eba54b5e,0,0,0,0,0,
20201107,MT,38948.0,,486228.0,,posNeg,525176.0,446.0,1465.0,,,,,23825.0,B,11/7/2020 01:59,2020-11-07T01:59:00Z,11/06 20:59,445.0,1465.0,2020-11-07T01:59:00Z,525176.0,,,38948.0,,,,,,,,,,,,,,,30,1001,579,525176,1580,525176,26,18,5a7e2d7e97bb2b436221323c6a730b9b870d0f10,0,0,0,0,0,
20201107,NC,291245.0,13045.0,4032911.0,,posNeg,4324156.0,1196.0,,327.0,,,,246318.0,A+,11/7/2020 11:20,2020-11-07T11:20:00Z,11/07 06:20,4605.0,,2020-11-07T11:20:00Z,4311111.0,,,278200.0,4511.0,94.0,,,,,,,,,,,47403.0,,37,2676,44104,4324156,46780,4324156,23,0,721f4c125cd38cc0faa0bfc7a2246f963d5b570e,0,0,0,0,0,
20201107,ND,53204.0,,254767.0,,totalTestEncountersViral,894384.0,374.0,1858.0,46.0,341.0,,,42251.0,B,11/7/2020 01:59,2020-11-07T01:59:00Z,11/06 20:59,480.0,1858.0,2020-11-07T01:59:00Z,933398.0,,,53204.0,475.0,5.0,894384.0,307971.0,11037.0,719.0,10318.0,,,,,,,,38,1602,704,307971,9652,307971,0,41,17dead717a4326d20a90df5b1fd113bc2a91bc01,0,0,0,0,0,
20201107,NE,80693.0,,540839.0,,totalTestsViral,1021846.0,748.0,3246.0,,,,,47259.0,A,11/6/2020 21:45,2020-11-06T21:45:00Z,11/06 16:45,701.0,3246.0,2020-11-06T21:45:00Z,1021846.0,94166.0,926419.0,80693.0,,,,621852.0,,,,,,,,,,,31,2681,4808,621532,21621,621532,27,45,7f157d0fd985b847ce62efd23edfb281a68191ce,0,0,0,0,0,
20201107,NH,12241.0,,349465.0,,totalTestsViral,657595.0,49.0,791.0,,260.0,,,9980.0,B,11/7/2020 09:00,2020-11-07T09:00:00Z,11/07 04:00,489.0,791.0,2020-11-07T09:00:00Z,657595.0,,,12241.0,,,,361706.0,33285.0,,,32389.0,,,,,,,33,229,2747,361706,6551,361706,1,1,ff9f67a4c3676941652f83308607fd28ba0b2426,0,0,0,0,0,
20201107,NJ,252582.0,,4711048.0,,posNeg,4963630.0,1392.0,38250.0,276.0,,76.0,,38016.0,A,11/7/2020 00:00,2020-11-07T24:00:00Z,11/06 19:00,16425.0,38250.0,2020-11-07T24:00:00Z,4963630.0,,,252582.0,14625.0,1800.0,,,,,,,,,,,,,34,3202,96992,4963630,100194,4963630,9,72,cfd70392e901b9b9530407a5a690f3d6b3943755,0,0,0,0,0,
20201107,NM,52394.0,,1186181.0,,posNeg,1238575.0,402.0,5020.0,,,,,22811.0,B,11/6/2020 17:50,2020-11-06T17:50:00Z,11/06 12:50,1088.0,5020.0,2020-11-06T17:50:00Z,1238575.0,,,52394.0,,,,,,,,,,,,,,,35,1284,7086,1238575,8370,1238575,6,51,c4473fb1f10ce1affec54770480c50082559bcf5,0,0,0,0,0,
20201107,NV,108746.0,,733258.0,,totalTestEncountersViral,1326378.0,826.0,,206.0,,89.0,,2525.0,A+,11/7/2020 00:00,2020-11-07T24:00:00Z,11/06 19:00,1850.0,,2020-11-07T24:00:00Z,1154583.0,,,108746.0,,,1326378.0,842004.0,,,,,,,,,,,32,1824,4766,842004,13886,842004,5,0,b6dd4b0bd3242467906bb89ac75fdf5b8e5e18c8,0,0,0,0,0,
20201107,NY,525608.0,,14993564.0,,posNeg,15519172.0,1381.0,89995.0,308.0,,138.0,,80494.0,B,11/6/2020 23:59,2020-11-06T23:59:00Z,11/06 18:59,25928.0,89995.0,2020-11-06T23:59:00Z,,,,525608.0,,,15519172.0,,,,,,,,,,,,36,3587,159704,15519172,163291,15519172,18,0,43fb30294c3e9fe306edb5d1378a7409b207998e,0,0,0,0,0,
20201107,OH,245727.0,13556.0,4563181.0,,posNeg,4808908.0,2188.0,20395.0,575.0,4005.0,283.0,,182878.0,A+,11/7/2020 14:00,2020-11-07T14:00:00Z,11/07 09:00,5506.0,20395.0,2020-11-07T14:00:00Z,4795352.0,,,232171.0,5177.0,329.0,,,,,,,,,,,,,39,5549,102545,4808908,108094,4808908,12,149,df873be0ffafd8ca3bbb7af75db6fc534a9f9436,0,0,0,0,0,
20201107,OK,131751.0,,1571321.0,17869.0,posNeg,1703072.0,1045.0,9438.0,312.0,,,,113227.0,A+,11/6/2020 00:00,2020-11-06T24:00:00Z,11/05 19:00,1429.0,9438.0,2020-11-06T24:00:00Z,1720070.0,145687.0,1571321.0,131751.0,,,,,91240.0,5285.0,,,,,,,,,40,0,13471,1720941,13471,1703072,0,0,81e6483474a9f50889784a2d82ea430d9b77c98d,0,0,0,0,0,
20201107,OR,49587.0,2488.0,853512.0,,posNeg,903099.0,266.0,3378.0,62.0,,27.0,,5870.0,A+,11/7/2020 03:01,2020-11-07T03:01:00Z,11/06 22:01,729.0,3378.0,2020-11-07T03:01:00Z,,,853512.0,46120.0,,,,895114.0,,,,,,,,,,,41,979,4518,903099,5497,903099,13,0,c5f051b2a394ff1bfed2e4cf90d94751bb2acca9,0,0,0,0,0,
20201107,PA,227985.0,12248.0,2426121.0,,posNeg,2654106.0,1687.0,,345.0,,157.0,,168708.0,A+,11/7/2020 12:00,2020-11-07T12:00:00Z,11/07 07:00,9015.0,,2020-11-07T12:00:00Z,4364978.0,,,215737.0,,,,2641858.0,,,,,,,,,,,42,4035,17755,2654106,21790,2654106,40,0,4cfd4acbf24a50b691c7fe80065ba9733528fdf8,0,0,0,0,0,
20201107,PR,37567.0,77.0,305972.0,,posNeg,343539.0,526.0,,69.0,,49.0,,32475.0,B,11/7/2020 00:00,2020-11-07T24:00:00Z,11/06 19:00,862.0,,2020-11-07T24:00:00Z,310546.0,7002.0,303412.0,37490.0,659.0,203.0,,,,33965.0,,,,,,,,,72,663,0,343539,663,343539,0,0,ae76d047d1529c49593093dc74ec61ad1a2d6706,0,0,0,0,0,
20201107,RI,36380.0,,417267.0,,totalTestEncountersViral,1217916.0,187.0,3488.0,21.0,,12.0,,2891.0,A+,11/6/2020 12:00,2020-11-06T12:00:00Z,11/06 07:00,1224.0,3488.0,2020-11-06T12:00:00Z,,47775.0,1170141.0,36380.0,,,1217916.0,453647.0,,,,,,,,,,,44,0,0,453647,0,453647,0,0,bebc66aa3d4d2d5aa945f6b040232b7306a55ccb,0,0,0,0,0,
20201107,SC,184742.0,9880.0,1760186.0,,posNeg,1944928.0,740.0,10834.0,180.0,,89.0,,95754.0,A+,11/6/2020 23:59,2020-11-06T23:59:00Z,11/06 18:59,4015.0,10834.0,2020-11-06T23:59:00Z,1935048.0,230445.0,1704603.0,174862.0,3756.0,259.0,,,82469.0,9425.0,73044.0,,,,,,135415.0,18430.0,45,1870,45961,1944928,47831,1944928,10,58,0deb41f2996dcc7b56d8fa1533cfd738104d110e,0,0,0,0,0,
20201107,SD,53976.0,2633.0,220707.0,,totalTestsPeopleViral,274683.0,515.0,3108.0,,,,,38403.0,A,11/6/2020 14:00,2020-11-06T14:00:00Z,11/06 09:00,523.0,3108.0,2020-11-06T14:00:00Z,470404.0,,,51343.0,,,,274683.0,,,,,,,,,,,46,1337,1156,274683,2493,274683,13,85,bec2d2dcb47f44a171ab69367654fe4da42549b1,0,0,0,0,0,
20201107,TN,278215.0,17013.0,3558402.0,,posNeg,3836617.0,1687.0,10645.0,489.0,,211.0,,249162.0,A+,11/7/2020 15:00,2020-11-07T15:00:00Z,11/07 10:00,3590.0,10645.0,2020-11-07T15:00:00Z,3819604.0,313255.0,3506349.0,261202.0,3370.0,220.0,,,,,,,,,,,146975.0,16374.0,47,5071,40139,3836617,45210,3836617,49,27,5535c77e8e35fa2a71d8278c75b0d73090eb0b69,0,0,0,0,0,
